beta,sigma,C,cv_score,cv_fold_scores,cv_std,test_accuracy,train_accuracy,balanced_accuracy,f1_macro,f1_weighted,kernel_alignment,effective_rank,condition_number
0.000000,3.232784,1.000000,0.531698,"[0.5430430430430431, 0.524024024024024, 0.5280280280280281]",0.008187,0.596479,0.982149,0.597879,0.614974,0.614020,0.217528,349.012398,33448.894531
0.025000,3.304181,1.000000,0.526193,"[0.5375375375375375, 0.519019019019019, 0.522022022022022]",0.008115,0.592682,0.985986,0.594158,0.616873,0.615479,0.213008,397.581901,19868.388672
0.050000,3.393985,1.000000,0.522523,"[0.5305305305305306, 0.516016016016016, 0.521021021021021]",0.006020,0.584915,0.990157,0.586389,0.614212,0.612967,0.207944,452.872811,11801.670898
0.075000,3.506775,1.000000,0.512513,"[0.522022022022022, 0.506006006006006, 0.5095095095095095]",0.006875,0.568347,0.992492,0.569798,0.605420,0.604413,0.202276,512.954897,7010.106445
0.100000,3.648072,1.000000,0.507174,"[0.5155155155155156, 0.5015015015015015, 0.5045045045045045]",0.006025,0.555402,0.994161,0.557028,0.597748,0.596758,0.195952,574.092982,4163.949707
0.125000,3.823712,1.000000,0.498832,"[0.504004004004004, 0.492992992992993, 0.4994994994994995]",0.004520,0.539869,0.996163,0.541685,0.587912,0.587206,0.188989,631.735977,2473.354248
