beta,sigma,C,cv_score,cv_fold_scores,cv_std,test_accuracy,train_accuracy,balanced_accuracy,f1_macro,f1_weighted,kernel_alignment,effective_rank,condition_number
0.000000,7.001221,1.000000,0.573407,"[0.5820820820820821, 0.5615615615615616, 0.5765765765765766]",0.008672,0.633414,0.988822,0.635502,0.646101,0.645317,0.252153,491.122831,9540.190430
0.025000,6.905761,1.000000,0.569069,"[0.5745745745745746, 0.5590590590590591, 0.5735735735735735]",0.007090,0.628064,0.991158,0.629917,0.644702,0.644166,0.248773,541.524526,6033.636719
0.050000,6.839208,1.000000,0.563230,"[0.5685685685685685, 0.5530530530530531, 0.5680680680680681]",0.007199,0.620815,0.992492,0.622225,0.642145,0.642052,0.244569,593.059539,3815.937500
0.075000,6.803162,1.000000,0.558392,"[0.5685685685685685, 0.546046046046046, 0.5605605605605606]",0.009322,0.611322,0.994494,0.612071,0.637557,0.637962,0.239428,642.976614,2413.368164
0.100000,6.798574,1.000000,0.554555,"[0.565065065065065, 0.541041041041041, 0.5575575575575575]",0.010035,0.602865,0.995329,0.603390,0.634438,0.635024,0.233306,688.418070,1526.320312
0.125000,6.826316,1.000000,0.551051,"[0.5595595595595596, 0.541041041041041, 0.5525525525525525]",0.007634,0.592855,0.995996,0.593243,0.629525,0.630127,0.226230,726.599559,965.312195
