beta,sigma,C,cv_score,cv_fold_scores,cv_std,test_accuracy,train_accuracy,balanced_accuracy,f1_macro,f1_weighted,kernel_alignment,effective_rank,condition_number
0.000000,6.546206,1.000000,0.381632,"[0.3760589318600368, 0.37937384898710863, 0.3894620486366986]",0.005700,0.006591,0.990054,0.006591,0.000067,0.013096,0.162207,415.053694,69007.992188
0.025000,6.434854,1.000000,0.386789,"[0.37790055248618787, 0.3867403314917127, 0.39572586588061903]",0.007277,0.006591,0.994229,0.006591,0.000067,0.013096,0.162594,499.377456,39532.507812
0.050000,6.354398,1.000000,0.389122,"[0.37937384898710863, 0.39226519337016574, 0.39572586588061903]",0.007036,0.007586,0.995948,0.007586,0.000077,0.015058,0.162728,600.439907,22646.929688
0.075000,6.303835,1.000000,0.389612,"[0.3819521178637201, 0.39337016574585637, 0.393515106853353]",0.005417,0.007959,0.997053,0.007959,0.000081,0.015793,0.162572,720.242005,12973.722656
0.100000,6.284108,1.000000,0.387279,"[0.38011049723756907, 0.39189686924493555, 0.3898305084745763]",0.005139,0.008581,0.997421,0.008581,0.000087,0.017016,0.162049,858.274343,7432.237305
0.125000,6.298899,1.000000,0.382490,"[0.37642725598526705, 0.3893186003683241, 0.3817243920412675]",0.005291,0.008954,0.997790,0.008954,0.000091,0.017749,0.161003,1007.937403,4257.694824
