beta,sigma,C,cv_score,cv_fold_scores,cv_std,test_accuracy,train_accuracy,balanced_accuracy,f1_macro,f1_weighted,kernel_alignment,effective_rank,condition_number
0.000000,2.596082,1.000000,0.551552,"[0.5480480480480481, 0.55005005005005, 0.5565565565565566]",0.003632,0.615292,0.969303,0.616859,0.620305,0.620056,0.229149,282.643411,29838.632812
0.025000,2.655756,1.000000,0.559726,"[0.5545545545545546, 0.5565565565565566, 0.5680680680680681]",0.005955,0.624439,0.978478,0.626004,0.632221,0.632263,0.230756,325.100864,17825.425781
0.050000,2.729795,1.000000,0.565399,"[0.5605605605605606, 0.5590590590590591, 0.5765765765765766]",0.007928,0.630480,0.983817,0.631758,0.641766,0.641927,0.231772,374.894344,10648.806641
0.075000,2.820226,1.000000,0.563897,"[0.5595595595595596, 0.556056056056056, 0.576076076076076]",0.008730,0.636003,0.988322,0.636839,0.651041,0.651626,0.232088,432.573622,6361.539062
0.100000,2.929221,1.000000,0.567568,"[0.5655655655655656, 0.5605605605605606, 0.5765765765765766]",0.006690,0.633932,0.990657,0.634609,0.653332,0.654276,0.231611,498.489849,3800.346436
0.125000,3.059802,1.000000,0.569069,"[0.57007007007007, 0.5575575575575575, 0.5795795795795796]",0.009018,0.631343,0.993827,0.631824,0.656869,0.657886,0.230205,571.778656,2270.304932
