beta,sigma,C,cv_score,cv_fold_scores,cv_std,test_accuracy,train_accuracy,balanced_accuracy,f1_macro,f1_weighted,kernel_alignment,effective_rank,condition_number
0.000000,3.362540,1.000000,0.312746,"[0.30534069981583795, 0.31307550644567217, 0.3198231392778187]",0.005917,0.006094,0.990422,0.006094,0.000062,0.012114,0.145713,535.362476,56953.777344
0.025000,3.431289,1.000000,0.312992,"[0.30386740331491713, 0.31307550644567217, 0.3220338983050847]",0.007417,0.007089,0.994474,0.007089,0.000072,0.014078,0.144514,608.114863,32941.726562
0.050000,3.520784,1.000000,0.310782,"[0.3023941068139963, 0.3119705340699816, 0.31798084008843036]",0.006419,0.012809,0.996439,0.012809,0.000130,0.025295,0.142947,685.783446,19053.298828
0.075000,3.634470,1.000000,0.305993,"[0.2994475138121547, 0.30534069981583795, 0.31319086219602066]",0.005630,0.053849,0.997053,0.053849,0.000524,0.102195,0.140971,765.223487,11020.321289
0.100000,3.776556,1.000000,0.300099,"[0.29539594843462247, 0.2990791896869245, 0.3058216654384672]",0.004317,0.086183,0.997544,0.086183,0.000814,0.158690,0.138561,842.010311,6374.088379
0.125000,3.952471,1.000000,0.291749,"[0.2876611418047882, 0.289134438305709, 0.2984524686809138]",0.004778,0.118642,0.997913,0.118642,0.001088,0.212118,0.135690,910.051053,3686.734863
